playerID,yearID,teamID,lgID,AB,R,H,X2B,X3B,HR,RBI,SB,BB,SO,HBP,SH,SF
belltr01,2011,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
belowdu01,2011,DET,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
beltbr01,2011,SFN,NL,187,21,42,6,1,9,18,3,20,57,2,0,0
beltrad01,2011,TEX,AL,487,82,144,33,0,32,105,1,25,53,5,0,8
beltrca01,2011,NYN,NL,353,61,102,30,2,15,66,3,60,61,2,0,4
benoijo01,2011,DET,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
bensojo01,2011,MIN,AL,71,3,17,6,1,0,2,2,3,21,0,0,0
bergebr02,2011,BAL,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
bergju01,2011,CHN,NL,2,0,0,0,0,0,0,0,0,1,0,0,0
berkeja01,2011,BAL,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
berkmla01,2011,SLN,NL,488,90,147,23,2,31,94,2,92,93,3,0,4
bernaro01,2011,WAS,NL,309,40,75,12,2,7,27,17,22,63,4,2,0
betande01,2011,NYA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
betanra01,2011,COL,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
betanyu01,2011,MIL,NL,556,51,140,27,3,13,68,4,16,63,2,0,10
betemwi01,2011,KCA,AL,203,29,57,15,1,3,27,3,20,58,0,0,3
billibr02,2011,COL,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
billich01,2011,LAN,NL,56,4,9,3,0,1,4,0,4,23,0,5,0
bixlebr01,2011,WAS,NL,83,9,17,1,2,0,2,4,7,19,0,4,0
blackch02,2011,COL,NL,98,9,25,1,0,1,8,5,3,8,0,1,0
blackni01,2011,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0
blakeca01,2011,LAN,NL,202,32,51,10,1,4,26,1,26,50,3,5,3
blancan01,2011,TEX,AL,76,9,17,3,0,2,3,0,4,14,0,2,0
blanche01,2011,ARI,NL,100,12,25,3,1,8,12,0,12,21,0,0,0
blankky01,2011,SDN,NL,170,21,39,7,1,7,26,2,16,51,2,0,2
blantjo01,2011,PHI,NL,11,1,2,0,0,0,2,0,0,3,0,1,0
blevije01,2011,OAK,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
bloomwi01,2011,ARI,NL,350,44,93,10,2,4,26,20,23,51,4,2,2
blumge01,2011,ARI,NL,49,8,11,3,0,2,10,0,5,9,1,0,0
boescbr01,2011,DET,AL,428,75,121,25,1,16,54,5,35,83,5,0,4
boggsbr01,2011,MIL,NL,19,4,3,0,0,2,2,1,3,8,0,0,0
boggsmi01,2011,SLN,NL,2,0,0,0,0,0,0,0,0,2,0,0,0
bogusbr01,2011,HOU,NL,164,22,47,14,1,4,15,4,15,40,1,1,1
bonifem01,2011,FLO,NL,565,78,167,26,7,5,36,40,59,129,1,11,5
borboju01,2011,TEX,AL,89,10,24,1,3,0,11,6,3,9,2,3,1
boscajc01,2011,ATL,NL,9,0,3,0,0,0,0,0,0,5,0,0,0
